노드ID,노드명,노드단축명,위도,경도,출발감지반경,도착감지반경,사용여부,데이터 기준일
2850131400,0,(안서골),36.82924684 ,127.18290750 ,30,30,1,2025-09-01
2850131800,0,,36.82964495 ,127.18962780 ,30,30,1,2025-09-01
2850132600,0,(평화연립1동),36.83014543 ,127.18463870 ,30,30,1,2025-09-01
2850133100,0,,36.83034462 ,127.29537950 ,30,30,1,2025-09-01
2850106500,0,중리교,36.81885418 ,127.22297980 ,30,30,1,2025-09-01
2850106600,0,중리교,36.81896664 ,127.22329920 ,30,30,1,2025-09-01
2850106900,0,,36.81910347 ,127.21887060 ,30,30,1,2025-09-01
2850107900,0,(덕전초교),36.81946338 ,127.22470980 ,30,30,1,2025-09-01
2850111200,0,,36.82077777 ,127.19556000 ,30,30,1,2025-09-01
2850112800,0,(쉼터(CoffeeHouse)),36.82104431 ,127.18824170 ,30,30,1,2025-09-01
2850113000,0,(태조산청소년수련관),36.82110296 ,127.19073500 ,30,30,1,2025-09-01
2850113200,0,연수교,36.82121910 ,127.18805810 ,30,30,1,2025-09-01
2850113400,0,연수교,36.82130168 ,127.18797130 ,30,30,1,2025-09-01
2850113600,0,,36.82140334 ,127.19083630 ,30,30,1,2025-09-01
2850060400,0,전청교,36.79655879 ,127.23675270 ,30,30,1,2025-09-01
2850060700,0,전청교,36.79668781 ,127.23611590 ,30,30,1,2025-09-01
2850062100,0,,36.79777448 ,127.19109350 ,30,30,1,2025-09-01
2850068700,0,,36.80031670 ,127.22805710 ,30,30,1,2025-09-01
2850069200,0,서흥교,36.80044971 ,127.23472660 ,30,30,1,2025-09-01
2850070100,0,(조산펀던골),36.80072244 ,127.19576530 ,30,30,1,2025-09-01
2850070200,0,서흥교,36.80084836 ,127.23509280 ,30,30,1,2025-09-01
2850071200,0,,36.80118588 ,127.18973430 ,30,30,1,2025-09-01
2850071500,0,,36.80128276 ,127.19250600 ,30,30,1,2025-09-01
2850075300,0,유량지하차도,36.80240085 ,127.18988120 ,30,30,1,2025-09-01
2850077600,0,유량지하차도,36.80291542 ,127.18893120 ,30,30,1,2025-09-01
2850080600,0,(서흥교),36.80408868 ,127.23158430 ,30,30,1,2025-09-01
2850081200,0,용연교,36.80422580 ,127.23172520 ,30,30,1,2025-09-01
2850082100,0,용연교,36.80442945 ,127.23208540 ,30,30,1,2025-09-01
2850139100,0,,36.83247278 ,127.18837500 ,30,30,1,2025-09-01
2850141400,0,(태조회관),36.83334531 ,127.19030190 ,30,30,1,2025-09-01
2850142000,0,,36.83346261 ,127.19113100 ,30,30,1,2025-09-01
2850143800,0,,36.83401545 ,127.19609780 ,30,30,1,2025-09-01
2850177900,0,창들교차로,36.75310218 ,127.30221940 ,30,30,1,2025-09-01
2850178000,0,병천1교동단,36.75499327 ,127.30124880 ,30,30,1,2025-09-01
2850178100,0,병천1교서단,36.75558282 ,127.29891120 ,30,30,1,2025-09-01
2850178200,0,장산교차로,36.75624017 ,127.29630560 ,30,30,1,2025-09-01
2850178300,0,탑원삼거리,36.75886765 ,127.30276160 ,30,30,1,2025-09-01
2850178400,0,병천고앞삼거리,36.76447234 ,127.31256950 ,30,30,1,2025-09-01
2850178500,0,중앙아파트,36.76492218 ,127.31424300 ,30,30,1,2025-09-01
2850178600,0,국보화악,36.76598970 ,127.31800790 ,30,30,1,2025-09-01
2850178700,0,JMC중공업,36.76730510 ,127.32260810 ,30,30,1,2025-09-01
2850178800,0,구도1교앞,36.76748929 ,127.32493590 ,30,30,1,2025-09-01
2850178900,0,선영케미칼,36.76776449 ,127.32544820 ,30,30,1,2025-09-01
2850179000,0,동면주유소,36.76880037 ,127.33036620 ,30,30,1,2025-09-01
2850179100,0,광스틸앞,36.76884547 ,127.32825460 ,30,30,1,2025-09-01
2850179200,0,구도2교앞,36.76893126 ,127.33388280 ,30,30,1,2025-09-01
2850179300,0,반계삼거리,36.77006741 ,127.33562770 ,30,30,1,2025-09-01
2850179400,0,반계삼한,36.77154448 ,127.33784890 ,30,30,1,2025-09-01
2850179500,0,아우내주유소,36.77525713 ,127.34485990 ,30,30,1,2025-09-01
2850179600,0,파골앞,36.77790987 ,127.35087640 ,30,30,1,2025-09-01
2850179700,0,송연교앞,36.77996210 ,127.35518370 ,30,30,1,2025-09-01
2850179800,0,동산3리,36.79230364 ,127.36871980 ,30,30,1,2025-09-01
2850179900,0,너싱홈,36.80212096 ,127.37122740 ,30,30,1,2025-09-01
2850180000,0,덕성2리,36.80383444 ,127.37226410 ,30,30,1,2025-09-01
2850180100,0,덕성1리,36.80589744 ,127.37262750 ,30,30,1,2025-09-01
2850180700,0,복양목장(남),36.70101535 ,127.26122700 ,30,30,1,2025-09-01
