연번,고유번호,정류소명,정류소주소,읍면동,시설구분
1548,10364,태정기공앞,충청남도 아산시 영인면 신봉리 864,영인면,시설없음
1549,10365,신남5리,충청남도 아산시 둔포면 신남리 751-14,둔포면,시설없음
1550,10366,신항2리,충청남도 아산시 둔포면 신항리 산27-1,둔포면,유개승강장
1551,10367,신항2리,충청남도 아산시 둔포면 신항리 479,둔포면,시설없음
1552,10368,신화3리,충청남도 아산시 영인면 신화리 498-2,영인면,시설없음
1553,10371,태양EP앞,충청남도 아산시 영인면 신봉리 산105-4,영인면,시설없음
1554,10372,태양EP앞,충청남도 아산시 영인면 신봉리 산105-4,영인면,시설없음
1555,10373,신봉2리새떼배기,충청남도 아산시 영인면 신봉리 436-4,영인면,시설없음
1556,10374,신봉2리새떼배기,충청남도 아산시 영인면 신봉리 436-4,영인면,표지판
1557,10375,신봉2리 마을회관,충청남도 아산시 영인면 신봉리 1103-2,영인면,시설없음
1558,10376,신봉2리 한심직이,충청남도 아산시 영인면 신봉리 985-1,영인면,시설없음
1559,10377,신봉2리 한심직이,충청남도 아산시 영인면 신봉리 985-1,영인면,유개승강장
1560,10378,창용4리 마산,충청남도 아산시 영인면 창용리 15-117,영인면,시설없음
1561,10384,온양중학교,충청남도 아산시 용화동 945,온양5동,시설없음
1562,10385,평생학습관,충청남도 아산시 용화동 778,온양5동,표지판
1563,10386,용화아이파크,충청남도 아산시 용화동 1393,온양5동,유개승강장
1564,10387,용화아이파크,충청남도 아산시 용화동 111-52,온양5동,표지판
1565,10388,초가집한식,충청남도 아산시 둔포면 석곡리 1509,둔포면,시설없음
1566,10389,신기모빌,충청남도 아산시 둔포면 석곡리 1549,둔포면,유개승강장
1567,10390,행운원룸,충청남도 아산시 둔포면 석곡리 1625,둔포면,시설없음
1568,10391,주식회사 성곡,충청남도 아산시 둔포면 석곡리 1625,둔포면,시설없음
1569,10392,상진,충청남도 아산시 둔포면 석곡리 1559,둔포면,표지판
1570,10393,주식회사 성곡,충청남도 아산시 둔포면 석곡리 1625,둔포면,시설없음
1571,10394,행운원룸,충청남도 아산시 둔포면 석곡리 1625,둔포면,시설없음
1572,10395,신기모빌,충청남도 아산시 둔포면 석곡리 1549,둔포면,시설없음
1573,10396,초가집한식,충청남도 아산시 둔포면 선곡리 1613,둔포면,시설없음
1574,10397,이지더원아파트,충청남도 아산시 둔포면 석곡리 1689,둔포면,유개승강장
1575,10398,서진캠,충청남도 아산시 둔포면 석곡리 1375,둔포면,유개승강장+표지판
1576,10399,신언1리된벌,충청남도 아산시 도고면 신언리 525,도고면,시설없음
1577,10400,효자리마을회관,충청남도 아산시 도고면 효자리 61-1,도고면,시설없음
1578,10401,효자리마을회관,충청남도 아산시 도고면 효자리 61-1,도고면,표지판
1579,10402,염치읍사무소,충청남도 아산시 염치읍 염성리 182-2,염치읍,표지판
1580,10403,염치읍사무소,충청남도 아산시 염치읍 염성리 182-2,염치읍,시설없음
1581,10404,염성1리,충청남도 아산시 염치읍 염성리 77-3,염치읍,시설없음
1582,10405,신성1리 마을회관,충청남도 아산시 선장면 신성리 132-7,선장면,시설없음
1583,10406,신성2리 마을회관 건너,충청남도 아산시 선장면 신성리 77-39,선장면,시설없음
1584,10407,신성2리 마을회관,충청남도 아산시 선장면 신성리 77-13,선장면,표지판
1585,10408,원앙주조,충청남도 아산시 선장면 신성리 21,선장면,표지판
1586,10409,원앙주조,충청남도 아산시 선장면 신성리 77-28,선장면,시설없음
1587,10410,신성1리 마을회관,충청남도 아산시 선장면 신성리 417,선장면,시설없음
1588,10411,신통1리 마을회관,충청남도 아산시 도고면 신통리 220-2,도고면,표지판
1589,10412,신통2리 마을회관,충청남도 아산시 도고면 신통리 11-3,도고면,시설없음
1590,10413,신통교앞,충청남도 아산시 도고면 향산리 225-10,도고면,시설없음
1591,10416,석두2리,충청남도 아산시 염치읍 석두리 292,염치읍,시설없음
1592,10417,백암3리 마을회관,충청남도 아산시 염치읍 백암리 214-3,염치읍,시설없음
1593,10418,송곡1리,충청남도 아산시 염치읍 송곡리 190-12,염치읍,시설없음
1594,10419,석정1리,충청남도 아산시 염치읍 석정리 283-4,염치읍,시설없음
1595,10420,석두1리,충청남도 아산시 염치읍 석두리 415,염치읍,표지판
1596,10421,석두교,충청남도 아산시 염치읍 곡교리 137-4,염치읍,시설없음
1597,10422,염성1리토골,충청남도 아산시 염치읍 곡교리 457,염치읍,시설없음
1598,10423,오목오거리,충청남도 아산시 신창면 오목리 300-107,신창면,시설없음
1599,10424,신달1리,충청남도 아산시 신창면 신달리 361-3,신창면,시설없음
1600,10425,신달리,충청남도 아산시 신창면 신달리 533,신창면,시설없음
1601,10426,신달2리마을회관,충청남도 아산시 신창면 신달리 775,신창면,시설없음
1602,10427,득산동입구,충청남도 아산시 득산동 16-8,온양4동,시설없음
1603,10428,시전2구마을회관,충청남도 아산시 도고면 시전리 581-75,도고면,표지판
1604,10429,시전2구 마을회관,충청남도 아산시 도고면 시전리 581-75,도고면,유개승강장
1605,10430,구성3리 마을회관,충청남도 아산시 영인면 구성리 52-7,영인면,표지판
1606,10431,구성3리 마을회관,충청남도 아산시 영인면 구성리 52-7,영인면,시설없음
1607,10432,창용1리 마을회관,충청남도 아산시 영인면 창용리 390-2,영인면,유개승강장
1608,10433,배방역,충청남도 아산시 배방읍 구령리 160-9,배방읍,유개승강장
1609,10434,남동,충청남도 아산시 남동 81-2,온양6동,시설없음
1610,10435,신흥리 입구,충청남도 아산시 배방읍 공수리 1027,배방읍,시설없음
1611,10436,신흥리,충청남도 아산시 배방읍 신흥리 68,배방읍,시설없음
1612,10437,도고CC,충청남도 아산시 선장면 신성리 97-24,선장면,시설없음
1613,10438,선창4리 마을회관,충청남도 아산시 선장면 선창리 91,선장면,시설없음
1614,10439,도고CC,충청남도 아산시 선장면 신성리 97-27,선장면,시설없음
1615,10440,송악환승센터(외암민속마을),충청남도 아산시 송악면 역촌리 76,송악면,유개승강장
1616,10441,송학1리마을회관,충청남도 아산시 송악면 송학리 203,송악면,시설없음
1617,10442,송학1리 송학골,충청남도 아산시 송악면 송학리 457,송악면,표지판
1618,10443,종곡리 종점,충청남도 아산시 송악면 종곡리 228,송악면,표지판
1619,10444,종곡리 마을회관,충청남도 아산시 송악면 종곡리 110-3,송악면,표지판
1620,10445,거산2리 마을회관,충청남도 아산시 송악면 거산리 57,송악면,표지판
1621,10446,오돌개마을입구,충청남도 아산시 송악면 강장리 195,송악면,표지판
1622,10447,강장1리 오돌개마을,충청남도 아산시 송악면 강장리 212-4,송악면,유개승강장
1623,10448,동화2리 신신배,충청남도 아산시 송악면 동화리 508-1,송악면,표지판
1624,10449,동화2리 동배골입구,충청남도 아산시 송악면 동화리 580-2,송악면,시설없음
1625,10450,동화2리 마을회관,충청남도 아산시 송악면 동화리 557-1,송악면,시설없음
1626,10451,송학1리마을회관,충청남도 아산시 송악면 송학리 203,송악면,표지판
1627,10452,종곡리 마을회관,충청남도 아산시 송악면 종곡리 110-3,송악면,시설없음
1628,10453,동화2리 신신배,충청남도 아산시 송악면 동화리 508-1,송악면,시설없음
1629,10454,동화2리 동배골입구,충청남도 아산시 송악면 동화리 580-2,송악면,표지판
1630,10455,오돌개마을입구,충청남도 아산시 송악면 강장리 195,송악면,시설없음
1631,10456,평촌2리 입구,충청남도 아산시 송악면 평촌리 148,송악면,유개승강장+표지판
1632,10457,서남대학교,충청남도 아산시 송악면 평촌리 105-14,송악면,시설없음
1633,10458,평촌1리,충청남도 아산시 송악면 평촌리 300-12,송악면,시설없음
1634,10459,평촌1리입구,충청남도 아산시 송악면 평촌리 483-49,송악면,시설없음
1635,10460,초사리 갱티입구,충청남도 아산시 초사동 15-2,온양5동,시설없음
1636,10462,벽산아파트,충청남도 아산시 실옥동 217-2,온양4동,유개승강장
1637,10463,실옥3통,충청남도 아산시 실옥동 205-41,온양4동,유개승강장
1638,10464,실옥3통,충청남도 아산시 실옥동 205-32,온양4동,표지판
1639,10465,선창1리입구,충청남도 아산시 선장면 선창리 355-8,선장면,표지판
1640,10466,선창1리입구,충청남도 아산시 선장면 선창리 333-3,선장면,표지판
1641,10467,온양농협경제센터,충청남도 아산시 법곡동 33-1,온양6동,시설없음
1642,10469,모종주공아파트,충청남도 아산시 모종동 396-12,온양3동,유개승강장
1643,10471,신인1통,충청남도 아산시 신인동 406-1,온양5동,유개승강장+표지판
1644,10472,경찰대학교,충청남도 아산시 신창면 황산리 16-17,신창면,유개승강장+표지판
1645,10473,기산2통입구,충청남도 아산시 신창면 황산리 35-2,신창면,유개승강장+표지판
1646,10474,기산2통 마을회관,충청남도 아산시 기산동 377-10,온양5동,시설없음
1647,10475,성미마을입구,충청남도 아산시 초사동 66,온양5동,표지판
1648,10476,도고온천역,충청남도 아산시 도고면 시전리 343-14,도고면,시설없음
1649,10478,배방석유,충청남도 아산시 배방읍 북수리 791-1,배방읍,표지판
1650,10479,죽산리난고개,충청남도 아산시 선장면 죽산리 323-18,선장면,시설없음
1651,10480,창암2리,충청남도 아산시 신창면 창암리 23-1,신창면,표지판
1652,10481,용연마을1단지,충청남도 아산시 배방읍 용연로 29,배방읍,유개승강장
1653,10482,용연마을1단지,충청남도 아산시 배방읍 용연로 29,배방읍,유개승강장
1654,10483,평생학습관,충청남도 아산시 용화동 771,온양5동,표지판
1655,10486,창암1리고갯마루,충청남도 아산시 신창면 읍내리 614-1,신창면,시설없음
1656,10487,궁화2리조내골,충청남도 아산시 신창면 궁화리 177-40,신창면,표지판
1657,10488,궁화2리조내골,충청남도 아산시 신창면 궁화리 177-40,신창면,표지판
1658,10489,죽산2리회관,충청남도 아산시 선장면 죽산리 251-1,선장면,시설없음
1659,10490,죽산2리회관,충청남도 아산시 선장면 죽산리 251-1,선장면,시설없음
1660,10491,구령리새터,충청남도 아산시 배방읍 구령리 659,배방읍,시설없음
1661,10492,구령리새터,충청남도 아산시 배방읍 구령리 659,배방읍,표지판
1662,10493,신성1리마을회관,충청남도 아산시 선장면 신성리 139-2,선장면,시설없음
1663,10494,신성1리마을회관,충청남도 아산시 선장면 신성리 139-2,선장면,유개승강장+표지판
1664,10495,성우하이텍,충청남도 아산시 선장면 군덕리 10-4,선장면,시설없음
1665,10496,소나무마을,충청남도 아산시 송악면 송학리 179,송악면,표지판
1666,10497,내건너,충청남도 아산시 송악면 송학리 474-4,송악면,표지판
1667,10498,코닝정밀소재2단지,충청남도 아산시 탕정면 명암리 1247-1,탕정면,표지판
1668,10499,아산충무병원,충청남도 아산시 풍기동 210-54,온양6동,유개승강장+표지판
1669,10500,아산충무병원,충청남도 아산시 풍기동 210-54,온양6동,표지판
1670,10501,온양농협경제센터,충청남도 아산시 법곡동 33-1,온양6동,시설없음
1671,10502,화천1리회차지,충청남도 아산시 도고면 화천리 366-5,도고면,유개승강장
1672,10505,신봉3리 공장단지,충청남도 아산시 영인면 신봉리 84-1,영인면,표지판
1673,10506,신봉3리 공장단지,충청남도 아산시 영인면 신봉리 84-1,영인면,시설없음
1674,10507,태헌장미아파트,충청남도 아산시 음봉면 산동리 444-5,음봉면,시설없음
1675,10508,신언3리,충청남도 아산시 도고면 신언리 174-4,도고면,표지판
1676,10509,신언3리,충청남도 아산시 도고면 신언리 174-4,도고면,유개승강장+표지판
1677,10510,신언리삼거리,충청남도 아산시 도고면 신언리 96-7,도고면,표지판
1678,10512,도고세계꽃식물원,충청남도 아산시 도고면 봉농리 579-2,도고면,유개승강장+표지판
1679,10513,선문대학생회관,충청남도 아산시 탕정면 매곡리 706 학생회관,탕정면,표지판
1680,10514,선문대학생회관,충청남도 아산시 탕정면 매곡리 706 학생회관,탕정면,유개승강장
1681,10515,이지더원1차아파트,충청남도 아산시 둔포면 석곡리 1786,둔포면,표지판
1682,10516,이지더원1차아파트,충청남도 아산시 둔포면 석곡리 1786,둔포면,표지판
1683,10517,금산리교차로,충청남도 아산시 도고면 금산리 159-8,도고면,시설없음
1684,10518,태헌장미아파트,충청남도 아산시 음봉면 산동리 423-5,음봉면,시설없음
1685,10521,신정2리마을회관,충청남도 아산시 음봉면 신정리 216-3,음봉면,시설없음
1686,10523,월천지구,충청남도 아산시 배방읍 북수리 1644,배방읍,유개승강장
1687,10524,월천지구,충청남도 아산시 배방읍 북수리 1799,배방읍,유개승강장
1688,10525,이지더원1 2차아파트,충청남도 아산시 둔포면 석곡리 1842,둔포면,스마트승강장
1689,10526,이지더원1 2차아파트,충청남도 아산시 둔포면 석곡리 1842,둔포면,유개승강장+표지판
1690,10527,용연마을1.3단지,충청남도 아산시 배방읍 장재리 1206,배방읍,유개승강장
1691,10528,용연마을1.3단지,충청남도 아산시 배방읍 장재리 2047,배방읍,유개승강장
1692,10529,배방역,충청남도 아산시 배방읍 구령리 159-1,배방읍,유개승강장
1693,10530,배방역,충청남도 아산시 배방읍 구령리 159-1,배방읍,유개승강장
1694,10531,신봉3리마을회관,충청남도 아산시 영인면 신봉리 48-2,영인면,시설없음
1695,10532,배방중학교,충청남도 아산시 배방읍 북수리 산65-47,배방읍,유개승강장
1696,10533,선문대입구,충청남도 아산시 탕정면 매곡리 690-1,탕정면,유개승강장+표지판
1697,10534,영인면사무소.환승센터,충청남도 아산시 영인면 아산리 444-3,영인면,유개승강장
1698,10535,신휴3리 마을회관,충청남도 아산시 음봉면 신휴리 210-8,음봉면,유개승강장
1699,10537,운용삼거리,충청남도 아산시 둔포면 운용리 418-4,둔포면,표지판
1700,10538,운용삼거리,충청남도 아산시 둔포면 운용리 418-4,둔포면,시설없음
1701,10539,능안말,충청남도 아산시 둔포면 석곡리 1307,둔포면,유개승강장
1702,10540,선문대입구,충청남도 아산시 탕정면 매곡리 690-1,탕정면,표지판
1703,10541,매곡리신풍터,충청남도 아산시 탕정면 매곡리 154-1,탕정면,표지판
1704,10542,매곡리신풍터,충청남도 아산시 탕정면 매곡리 154-1,탕정면,유개승강장
1705,10545,운용공원,충청남도 아산시 둔포면 석곡리 1298,둔포면,표지판
1706,10546,산동3리마을회관,충청남도 아산시 음봉면 산동리 72-1,음봉면,시설없음
1707,10547,염치농협,충청남도 아산시 염치읍 염성리 204-3,염치읍,시설없음
1708,10548,삼성전자기숙사후문,충청남도 아산시 탕정면 명암리 1311,탕정면,시설없음
1709,10549,삼성전자기숙사후문,충청남도 아산시 탕정면 명암리 1311,탕정면,표지판
1710,10550,음봉중포스코2.3차,충청남도 아산시 음봉면 동암리 263-1,음봉면,유개승강장
1711,10551,음봉중포스코2.3차,충청남도 아산시 음봉면 동암리 277-6,음봉면,스마트승강장
1712,10552,인주농협,충청남도 아산시 인주면 밀두리 446-1,인주면,시설없음
1713,10553,충남경제진흥원,충청남도 아산시 염치읍 송곡리 244-47,염치읍,유개승강장+표지판
1714,10554,충남경제진흥원,충청남도 아산시 염치읍 송곡리 244-47,염치읍,스마트승강장
1715,10555,송곡2리,충청남도 아산시 염치읍 송곡리 112-435,염치읍,표지판
1716,10556,송곡2리,충청남도 아산시 염치읍 송곡리 112-435,염치읍,유개승강장+표지판
1717,10557,서원리벌판,충청남도 아산시 염치읍 서원리 289-115,염치읍,시설없음
1718,10558,서원리벌판,충청남도 아산시 염치읍 서원리 289-115,염치읍,표지판
1719,10559,구령2리,충청남도 아산시 배방읍 구령리 128-11,배방읍,유개승강장
1720,10560,구령2리,충청남도 아산시 배방읍 구령리 128-11,배방읍,유개승강장
1721,10561,운용리입구,충청남도 아산시 둔포면 운용리 41-2,둔포면,시설없음
1722,10562,도산1리마을회관,충청남도 아산시 도고면 도산리 273-2,도고면,시설없음
1723,10564,물류공장,충청남도 아산시 인주면 해암리 106-10,인주면,표지판
1724,10565,구성3리마을입구,충청남도 아산시 영인면 구성리 1015,영인면,표지판
1725,10566,구성3리마을입구,충청남도 아산시 영인면 구성리 1015,영인면,시설없음
1726,10567,구성3리 능안말,충청남도 아산시 영인면 구성리 1100,영인면,표지판
1727,10568,구성3리 능안말,충청남도 아산시 영인면 구성리 1100,영인면,시설없음
1728,10569,신봉리 부랑골,충청남도 아산시 영인면 신봉리 511-8,영인면,시설없음
1729,10570,신봉리 부랑골,충청남도 아산시 영인면 신봉리 511-8,영인면,표지판
1730,10571,신봉2리 첫고개,충청남도 아산시 영인면 신봉리 산86-3,영인면,시설없음
1731,10572,신봉2리 첫고개,충청남도 아산시 영인면 신봉리 산86-3,영인면,표지판
1732,10573,와우리마을회관,충청남도 아산시 영인면 와우리 138-9,영인면,시설없음
1733,10574,신화교회,충청남도 아산시 영인면 와우리 44-3,영인면,시설없음
1734,10575,신화교회,충청남도 아산시 영인면 와우리 44-3,영인면,표지판
1735,10576,광명,충청남도 아산시 영인면 와우리 26-7,영인면,표지판
1736,10577,광명,충청남도 아산시 영인면 와우리 26-7,영인면,시설없음
1737,10578,구성3리오반길,충청남도 아산시 영인면 구성리 51-3,영인면,표지판
1738,10579,구성3리오반길,충청남도 아산시 영인면 구성리 51-3,영인면,시설없음
1739,10580,특수교육원,충청남도 아산시 배방읍 장재리 1628,배방읍,유개승강장+표지판
1740,10581,운용공원,충청남도 아산시 둔포면 석곡리 1298,둔포면,표지판
1741,10582,금화산업단지,충청남도 아산시 음봉면 산동리 930-3,음봉면,시설없음
1742,10583,금화산업단지,충청남도 아산시 음봉면 산동리 930-3,음봉면,표지판
1743,10584,휴먼시아7단지,충청남도 아산시 배방읍 장재리 1550,배방읍,표지판
1744,10585,현충사입구,충청남도 아산시 염치읍 백암리 291-17,염치읍,유개승강장
1745,10586,송곡2리 마을길,충청남도 아산시 염치읍 송곡리 110-7,염치읍,표지판
1746,10587,송곡2리 마을길,충청남도 아산시 염치읍 송곡리 110-7,염치읍,표지판
1747,10588,와우리마을길,충청남도 아산시 영인면 와우리 20-2,영인면,표지판
1748,10589,와우리마을길,충청남도 아산시 영인면 와우리 20-2,영인면,시설없음
1749,10590,공공하수처리시설,충청남도 아산시 탕정면 갈산리 585-11,탕정면,표지판
1750,10591,공공하수처리시설,충청남도 아산시 탕정면 갈산리 585-11,탕정면,표지판
1751,10592,법곡동코아루,충청남도 아산시 법곡동 1-71,온양6동,유개승강장+표지판
1752,10593,법곡동코아루,충청남도 아산시 법곡동 산1-6,온양6동,유개승강장+표지판
1753,10594,예꽃재마을,충청남도 아산시 송악면 강장리 21-3,송악면,표지판
1754,10595,예꽃재마을,충청남도 아산시 송악면 강장리 21-3,송악면,유개승강장+표지판
1755,10596,도고온천역,충청남도 아산시 도고면 시전리 607-5,도고면,유개승강장
1756,10597,도고온천역,충청남도 아산시 도고면 시전리 343-10,도고면,유개승강장
1757,10598,시전3리.가향리,충청남도 아산시 도고면 시전리 586-2,도고면,유개승강장
1758,10599,시전3리.가향리,충청남도 아산시 도고면 시전리 322-16,도고면,표지판
1759,10600,유곡교,충청남도 아산시 송악면 마곡리 309-3,송악면,표지판
1760,10601,외암민속마을 저잣거리,충청남도 아산시 송악면 역촌리 75-3,송악면,표지판
1761,10602,외암민속마을 저잣거리,충청남도 아산시 송악면 역촌리 75-3,송악면,표지판
1762,10603,아산시공설봉안당,충청남도 아산시 송악면 거산리 406-4,송악면,시설없음
1763,10604,오돌개마을,충청남도 아산시 송악면 강장리 23-81,송악면,표지판
1764,10605,평촌리입구,충청남도 아산시 송악면 평촌리 108-11,송악면,표지판
1765,10606,평촌리입구,충청남도 아산시 송악면 평촌리 108-11,송악면,표지판
1766,10607,신운2리 마을회관,충청남도 아산시 영인면 신운리 285-3,영인면,유개승강장+표지판
1767,10608,용화3통,충청남도 아산시 용화동 1581,온양5동,표지판
1768,10609,용화3통,충청남도 아산시 용화동 91-1,온양5동,유개승강장
1769,10610,신정리,충청남도 아산시 음봉면 신정리 443-2,음봉면,표지판
1770,10611,신정리,충청남도 아산시 음봉면 신정리 248-1,음봉면,표지판
1771,10612,신봉교,충청남도 아산시 영인면 신봉리 1108-1,영인면,표지판
1772,10613,신봉교,충청남도 아산시 영인면 신봉리 1108-1,영인면,표지판
1773,10614,공수4리 2반,충청남도 아산시 배방읍 공수리 717,배방읍,표지판
1774,10615,공수4리 2반,충청남도 아산시 배방읍 공수리 703,배방읍,표지판
1775,10616,유곡2리마을회관,충청남도 아산시 송악면 유곡리 712,송악면,유개승강장
1776,10617,황산리 모산,충청남도 아산시 신창면 황산리 5-23,신창면,시설없음
1777,10618,이내삼거리,충청남도 아산시 배방읍 북수리 645-26,배방읍,표지판
1778,10619,이내삼거리,충청남도 아산시 배방읍 북수리 1354,배방읍,표지판
1779,10620,산전리입구,충청남도 아산시 둔포면 봉재리 456,둔포면,표지판
1780,10621,산전리입구,충청남도 아산시 둔포면 봉재리 456,둔포면,유개승강장+표지판
1781,10622,역촌리,충청남도 아산시 송악면 역촌리 396-19,송악면,표지판
1782,10623,역촌리,충청남도 아산시 송악면 역촌리 513-12,송악면,표지판
1783,10624,고속버스터미널,충청남도 아산시 모종동 557-17,온양3동,표지판
1784,10626,신창초등학교,충청남도 아산시 신창면 읍내리 287-12,신창면,표지판
1785,10627,안골마을회관,충청남도 아산시 영인면 성내리 744-7,영인면,시설없음
1786,10628,성내1리 쇠재,충청남도 아산시 영인면 성내리 392-2,영인면,시설없음
1787,10629,한성공장앞,충청남도 아산시 영인면 역리 681-1,영인면,시설없음
1788,10630,안골,충청남도 아산시 영인면 성내리 488-2,영인면,표지판
1789,10631,신화초등학교,충청남도 아산시 영인면 신화리 523-29,영인면,유개승강장
1790,10632,새말,충청남도 아산시 둔포면 신항리 113-7,둔포면,시설없음
1791,10633,다라미자운영마을,충청남도 아산시 송악면 역촌리 164-1,송악면,표지판
1792,10634,다라미자운영마을,충청남도 아산시 송악면 역촌리 20-4,송악면,표지판
1793,10635,창용리삼양,충청남도 아산시 영인면 창용리 76-4,영인면,표지판
1794,10636,창용리삼양,충청남도 아산시 영인면 창용리 76-4,영인면,표지판
1795,10637,북수2리마을입구,충청남도 아산시 배방읍 북수리 1728,배방읍,유개승강장
1796,10638,북수2리마을입구,충청남도 아산시 배방읍 북수리 1687,배방읍,유개승강장
1797,10640,인주공단교차로,충청남도 아산시 인주면 걸매리 711,인주면,표지판
1798,10641,인주공단교차로,충청남도 아산시 인주면 걸매리 183-36,인주면,유개승강장+표지판
1799,10642,유한,충청남도 아산시 둔포면 송용리 158-18,둔포면,표지판
1800,10643,가스코,충청남도 아산시 둔포면 송용리 170-17,둔포면,표지판
1801,10644,해명사,충청남도 아산시 염치읍 쌍죽길 144-6,염치읍,시설없음
1802,10645,해명사,충청남도 아산시 염치읍 쌍죽길 144-6,염치읍,표지판
1803,10646,신2통입구,충청남도 아산시 모종동 462-31,온양3동,시설없음
1804,10647,신2통입구,충청남도 아산시 모종동 462-31,온양3동,유개승강장
1805,10649,온양6동입구,충청남도 아산시 장존동 422-1,온양6동,표지판
1806,10650,온양6동입구,충청남도 아산시 장존동 422-1,온양6동,시설없음
1807,10651,이지더원4단지,충청남도 아산시 둔포면 석곡리 1797 406동 앞,둔포면,표지판
1808,10652,이지더원3단지,충청남도 아산시 둔포면 석곡리 1788 306동 앞,둔포면,유개승강장+표지판
1809,10653,캐슬어울림2단지,충청남도 아산시 모종동 640 206동 앞,온양3동,유개승강장+표지판
1810,10654,e편한세상,충청남도 아산시 모종동 623,온양3동,표지판
1811,10655,한남프레시앙아파트,충청남도 아산시 염치읍 방현리 445-4,염치읍,표지판
1812,10656,신왕1리 마을회관,충청남도 아산시 둔포면 신왕리 31-2,둔포면,시설없음
1813,10657,신왕2리 새터,충청남도 아산시 둔포면 신왕리 47-5,둔포면,표지판
1814,10658,이지더원5단지,충청남도 아산시 둔포면 석곡리 1790 506동 앞,둔포면,유개승강장+표지판
1815,10659,이지더원6단지,충청남도 아산시 둔포면 석곡리 1793 606동 앞,둔포면,유개승강장+표지판
1816,10660,세교4리 속셈말,충청남도 아산시 배방읍 세교리 594,배방읍,표지판
1817,10663,롯데캐슬1단지,충청남도 아산시 모종동 638,온양3동,시설없음
1818,10664,롯데캐슬1단지,충청남도 아산시 모종동 394-1,온양3동,유개승강장
1819,10665,롯데캐슬3단지,충청남도 아산시 모종동 728,온양3동,유개승강장
1820,10666,롯데캐슬3단지,충청남도 아산시 모종동 728,온양3동,표지판
1821,10667,캐슬어울림1단지,충청남도 아산시 모종동 629,온양3동,유개승강장+표지판
1822,10668,푸르지오아파트,충청남도 아산시 모종동 629,온양3동,유개승강장+표지판
1823,10669,한남프레시앙아파트,충청남도 아산시 염치읍 방현리 445-4,염치읍,시설없음
1824,10670,신왕1리마을회관,충청남도 아산시 둔포면 신왕리 31-2,둔포면,표지판
1825,10671,신왕2리 새터,충청남도 아산시 둔포면 신왕리 47-5,둔포면,시설없음
1826,10672,세교4리 속셈말,충청남도 아산시 배방읍 세교리 594,배방읍,시설없음
1827,10673,농은리 점밭골,충청남도 아산시 도고면 농은리 140-2,도고면,시설없음
1828,10674,농은리 점밭골,충청남도 아산시 도고면 농은리 140-2,도고면,시설없음
1829,10675,선문대학교,충청남도 아산시 탕정면 갈산리 93-11,탕정면,표지판
1830,10676,선문대학교,충청남도 아산시 탕정면 갈산리 93-11,탕정면,표지판
1831,10677,창암3리마을회관,충청남도 아산시 신창면 창암리 589,신창면,표지판
1832,10678,창암3리마을회관,충청남도 아산시 신창면 창암리 589,신창면,표지판
1833,10679,읍내2통삼거리,충청남도 아산시 읍내동 351-7,온양6동,표지판
1834,10680,읍내2통삼거리,충청남도 아산시 읍내동 138-33,온양6동,표지판
1835,10681,신통리입구,충청남도 아산시 도고면 향산리 223,도고면,시설없음
1836,10682,신통리입구,충청남도 아산시 도고면 향산리 223,도고면,표지판
1837,10683,명암2리,충청남도 아산시 탕정면 명암리 1342,탕정면,유개승강장
1838,10684,명암2리,충청남도 아산시 탕정면 명암리 1342,탕정면,유개승강장
1839,10685,동방초등학교앞,충청남도 아산시 배방읍 휴대리 160-3,배방읍,시설없음
1840,10686,신흥마을,충청남도 아산시 배방읍 휴대리 126,배방읍,시설없음
1841,10687,휴대1리,충청남도 아산시 배방읍 휴대리 8-1,배방읍,시설없음
1842,10688,한성아파트,충청남도 아산시 배방읍 휴대리 27-1,배방읍,시설없음
1843,10689,창용1리 마을회관,충청남도 아산시 영인면 창용리 390-2,영인면,시설없음
1844,10691,교원연수원,충청남도 아산시 선장면 신성리 133-2,선장면,표지판
1845,10692,아산중앙도서관,충청남도 아산시 용화동 1392,온양5동,표지판
1846,10693,아산중앙도서관,충청남도 아산시 용화동 1394-4,온양5동,표지판
1847,10694,장영실과학관,충청남도 아산시 배미동 221-2,온양4동,시설없음
1848,10695,장영실과학관,충청남도 아산시 배미동 221-2,온양4동,시설없음
1849,10696,와산리종점,충청남도 아산시 도고면 와산리 432,도고면,시설없음
1850,10698,송용리입구,충청남도 아산시 둔포면 송용리 75-10,둔포면,표지판
1851,10699,유엠하이텍,충청남도 아산시 음봉면 신휴리 785,음봉면,유개승강장
1852,10700,금성풍력,충청남도 아산시 둔포면 석곡리 2063,둔포면,유개승강장
1853,10701,송용리입구,충청남도 아산시 둔포면 송용리 75-10,둔포면,시설없음
1854,10702,송용1리 마을회관,충청남도 아산시 둔포면 송용리 149-1,둔포면,유개승강장+표지판
1855,10703,아산2테크노밸리입구,충청남도 아산시 둔포면 석곡리 1996,둔포면,표지판
1856,10704,현대글로비스,충청남도 아산시 음봉면 신휴리 774,음봉면,유개승강장
1857,10705,신흥리 솔티다리,충청남도 아산시 배방읍 중리 17-2,배방읍,표지판
1858,10706,신흥리 솔티다리,충청남도 아산시 배방읍 중리 27-2,배방읍,표지판
1859,10707,시전1리 입구,충청남도 아산시 도고면 시전리 488,도고면,유개승강장
1860,10708,봉재삼거리,충청남도 아산시 둔포면 봉재리 258-8,둔포면,표지판
1861,10709,한국도시공사,충청남도 아산시 배방읍 휴대리 488,배방읍,유개승강장
