"facility_id","name","category","nearest_node_id","address","lat","lng"
"F00172","제일떡방아간","음식점","ST001","충청남도 아산시 둔포면 둔포면로25번길 20-5","36.930152","127.036052"
"F00173","둔포막창순대","음식점","ST001","충청남도 아산시 둔포면 충무로 1750-1","36.927584","127.035580"
"F00174","오리마을","음식점","ST001","충청남도 아산시 둔포면 둔포로 4","36.926629","127.035400"
"F00175","궁전다방","카페","ST001","충청남도 아산시 둔포면 둔포면로17번길 16","36.929106","127.035962"
"F00176","7토츠카","음식점","ST001","충청남도 아산시 둔포면 충무로 1734","36.926421","127.035411"
"F00177","공수부대찌개","음식점","ST001","충청남도 아산시 둔포면 충무로 1734","36.926421","127.035411"
"F00178","메가박스","음식점","ST001","충청남도 아산시 둔포면 충무로 1790","36.930377","127.036378"
"F00179","밤도깨비","음식점","ST001","충청남도 아산시 둔포면 충무로 1790","36.930377","127.036378"
"F00180","상하이","음식점","ST001","충청남도 아산시 둔포면 충무로 1790","36.930377","127.036378"
"F00181","베이크앤","카페","ST001","충청남도 천안시 서북구 입장면 하장4길 26","36.914050","127.219398"
"F00182","진로해물탕","음식점","ST001","충청남도 아산시 둔포면 충무로 1748-9","36.927286","127.035849"
"F00183","반올림피자샵둔포･팽성점","음식점","ST001","충청남도 아산시 둔포면 둔포로 6-17","36.925664","127.035567"
"F00184","태성추어탕","음식점","ST001","충청남도 아산시 둔포면 충무로 1795","36.931368","127.037119"
"F00185","미가정","음식점","ST001","충청남도 아산시 둔포면 둔포로 6-11","36.925908","127.035904"
"F00186","지에스25입장휴게소점","편의점","ST001","충청남도 천안시 서북구 입장면 삼사로 2013","36.928183","127.217643"
"F00187","대구막창","음식점","ST001","충청남도 아산시 둔포면 둔포면로 5","36.927538","127.036376"
"F00188","방실이네","음식점","ST001","충청남도 아산시 둔포면 둔포면로 5","36.927538","127.036376"
"F00189","파초카페","음식점","ST001","충청남도 아산시 둔포면 둔포면로 5","36.927538","127.036376"
"F00190","콩가네","음식점","ST001","충청남도 아산시 둔포면 둔포면로17번길 10-8","36.929250","127.036894"
"F00191","흥부반점","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 32","36.913835","127.218646"
"F00192","난다방","카페","ST001","충청남도 아산시 둔포면 둔포면로 2","36.927268","127.036556"
"F00193","둔포감자탕","음식점","ST001","충청남도 아산시 둔포면 둔포면로 2-1","36.927331","127.036578"
"F00194","알파이즈","음식점","ST001","충청남도 아산시 둔포면 둔포면로 9","36.927782","127.036691"
"F00195","헤라","음식점","ST001","충청남도 아산시 둔포면 둔포면로 9","36.927782","127.036691"
"F00196","우리흑염소","음식점","ST001","충청남도 아산시 둔포면 둔포면로25번길 5","36.929232","127.037039"
"F00197","서울집","음식점","ST001","충청남도 아산시 둔포면 둔포면로 9-1","36.927881","127.036736"
"F00198","정다방","카페","ST001","충청남도 아산시 둔포면 둔포면로 9-1","36.927881","127.036736"
"F00199","가게알라","음식점","ST001","충청남도 아산시 둔포면 둔포면로5번길 4-9","36.928097","127.036792"
