"stop_id","stop_name","lat","lng","district"
"288010479","죽산리난고개 건너","36.78911160","126.90593000",""
"288010480","창암2리","36.76066000","126.96490000",""
"285000165","쌍용동일A","36.78480000","127.11328000",""
"2850012238","정류장 2850012238","36.80110678","127.02056710",""
"2850012236","정류장 2850012236","36.80496518","127.03010240",""
"285010014","종합터미널","36.81875000","127.15667000",""
"285010125","종합터미널","36.81872000","127.15602000",""
"2850189400","관성리3길","36.81716966","127.34097920",""
"2850215600","정류장 2850215600","36.91260896","127.20416000",""
"2850215700","정류장 2850215700","36.91673596","127.20233400",""
"2850216600","(독정리사거리)","36.91764619","127.23251360",""
"2850216700","입장교차로 남측","36.92228928","127.23534670",""
"2850216800","입장교 동단","36.92247890","127.23577090",""
"2850216900","입장교 서단","36.92267708","127.23531400",""
"2850217000","입장교차로 북측","36.92294826","127.23577230",""
"2850217100","(도경계)","36.92354100","127.23615830",""
"2850219700","유정1교","36.68874872","127.15966850",""
"2850189500","의관동삼거리","36.81751940","127.31587300",""
"2850189700","관성리2길","36.82132297","127.32384800",""
"2850189800","명덕리길","36.82238891","127.25491810",""
"2850189900","위례초교삼거리","36.82472581","127.27317260",""
"2850190000","신자경천도뫼","36.82497760","127.28405250",""
"2850190100","북면사무소","36.82730750","127.27246280",""
"2850193300","성거지게차","36.87787881","127.20363210",""
"2850193400","수청거리","36.87855792","127.20413740",""
"2850194200","호견길","36.88440572","127.23798650",""
"2850194900","호계리사거리","36.90260785","127.22068910",""
"2850195500","연합아파트삼거리","36.91285189","127.20992910",""
"2850195600","성거소방삼거리","36.91328928","127.21714440",""
"2850195700","도림2리","36.91373705","127.24695470",""
"2850195800","한성아파트","36.91403049","127.24504900",""
"2850195900","입장초교삼거리","36.91436568","127.22215260",""
"2850196300","흥농종묘삼거리","36.91504398","127.20971060",""
"2850196500","공동회관","36.92007942","127.25254340",""
"2850197000","정류장 2850197000","36.95088591","127.19695320",""
"2850197800","정류장 2850197800","36.90481932","127.27865710",""
"2850198300","한솔제지앞","36.69029458","127.15759200",""
"2850198400","남천안IC입구","36.74975341","127.17087510",""
"2850198500","삼성2리BS앞","36.75416204","127.17115130",""
"2850198700","동평1리","36.76994703","127.23886860",""
"2850198800","백운암입구","36.77033887","127.23114400",""
"2850198900","초원아파트앞","36.77130851","127.22950230",""
"2850161800","정류장 2850161800","36.84607450","127.32042330",""
"2850162100","정류장 2850162100","36.84795158","127.20139120",""
"2850162200","양곡2교","36.84908345","127.27763700",""
"2850162300","양곡2교","36.84916273","127.27774360",""
"2850162400","정류장 2850162400","36.84970361","127.28616730",""
"2850163700","정류장 2850163700","36.85544125","127.26590930",""
"2850164100","정류장 2850164100","36.85562320","127.26560670",""
"2850166300","(양계장)","36.86853031","127.19821780",""
"2850166400","정류장 2850166400","36.86873726","127.20413450",""
"2850166500","(뉴호스텔)","36.87006555","127.19953970",""
"2850166700","천흥교","36.87078490","127.19999610",""
"2850166900","천흥교","36.87091312","127.20007750",""
"2850167300","정류장 2850167300","36.87296344","127.29939620",""
"2850167400","정류장 2850167400","36.87317702","127.21071100",""
"2850167500","(삼일아파트103동)","36.87423911","127.20178130",""
"2850168000","정류장 2850168000","36.87526167","127.29168830",""
"2850169300","정류장 2850169300","36.87763494","127.21396310",""
"2850169500","정류장 2850169500","36.87782587","127.19630070",""
"2850170600","정류장 2850170600","36.87947734","127.29445190",""
"2850170700","정류장 2850170700","36.87959812","127.21315580",""
"2850171100","정류장 2850171100","36.88135317","127.20841330",""
"2850171200","저리1교","36.88180590","127.20279580",""
"2850171300","저리1교","36.88201497","127.20291480",""
"2850171400","정류장 2850171400","36.88291642","127.21412260",""
"2850171500","(동국엔지니어링)","36.88313059","127.20855350",""
"2850171800","(도정공장)","36.88551612","127.19867490",""
"2850172000","정류장 2850172000","36.88591474","127.21477740",""
"2850172300","정류장 2850172300","36.88705378","127.20647220",""
"2850172900","정류장 2850172900","36.90253045","127.22055180",""
"2850173000","시장교","36.90265954","127.22077860",""
"2850173100","시장교","36.90277093","127.22097130",""
"2850173300","정류장 2850173300","36.90465721","127.24597210",""
"2850173400","신흥교","36.90496879","127.25031140",""
"2850173500","정류장 2850173500","36.90515039","127.27985410",""
"2850173600","신흥교","36.90520715","127.25053230",""
"2850174500","상장교","36.91465810","127.23084050",""
"2850174600","상장교","36.91476406","127.23090000",""
"2850176200","정류장 2850176200","36.94901209","127.19686640",""
"2850176700","정류장 2850176700","36.95206645","127.19457540",""
"2850176800","정류장 2850176800","36.95229740","127.19198910",""
"2850147800","정류장 2850147800","36.83541597","127.19034880",""
"2850128200","(새마을창고)","36.82771755","127.31578510",""
"2850128300","봉황교","36.82772236","127.31504220",""
"2850128600","봉황교","36.82776843","127.31455690",""
"2850131400","(안서골)","36.82924684","127.18290750",""
"2850131800","정류장 2850131800","36.82964495","127.18962780",""
"2850132600","(평화연립1동)","36.83014543","127.18463870",""
"2850133100","정류장 2850133100","36.83034462","127.29537950",""
"2850106500","중리교","36.81885418","127.22297980",""
"2850106600","중리교","36.81896664","127.22329920",""
"2850106900","정류장 2850106900","36.81910347","127.21887060",""
"2850107900","(덕전초교)","36.81946338","127.22470980",""
"2850111200","정류장 2850111200","36.82077777","127.19556000",""
"2850112800","(쉼터(CoffeeHouse))","36.82104431","127.18824170",""
"2850113000","(태조산청소년수련관)","36.82110296","127.19073500",""
"2850113200","연수교","36.82121910","127.18805810",""
"2850113400","연수교","36.82130168","127.18797130",""
"2850113600","정류장 2850113600","36.82140334","127.19083630",""
"2850060400","전청교","36.79655879","127.23675270",""
"2850060700","전청교","36.79668781","127.23611590",""
"2850062100","정류장 2850062100","36.79777448","127.19109350",""
"2850068700","정류장 2850068700","36.80031670","127.22805710",""
"2850069200","서흥교","36.80044971","127.23472660",""
"2850070100","(조산펀던골)","36.80072244","127.19576530",""
"2850070200","서흥교","36.80084836","127.23509280",""
"2850071200","정류장 2850071200","36.80118588","127.18973430",""
"2850071500","정류장 2850071500","36.80128276","127.19250600",""
"2850075300","유량지하차도","36.80240085","127.18988120",""
"2850077600","유량지하차도","36.80291542","127.18893120",""
"2850080600","(서흥교)","36.80408868","127.23158430",""
"2850081200","용연교","36.80422580","127.23172520",""
"2850082100","용연교","36.80442945","127.23208540",""
"2850139100","정류장 2850139100","36.83247278","127.18837500",""
"2850141400","(태조회관)","36.83334531","127.19030190",""
"2850142000","정류장 2850142000","36.83346261","127.19113100",""
"2850143800","정류장 2850143800","36.83401545","127.19609780",""
"2850177900","창들교차로","36.75310218","127.30221940",""
"2850178000","병천1교동단","36.75499327","127.30124880",""
"2850178100","병천1교서단","36.75558282","127.29891120",""
"2850178200","장산교차로","36.75624017","127.29630560",""
"2850178300","탑원삼거리","36.75886765","127.30276160",""
"2850178400","병천고앞삼거리","36.76447234","127.31256950",""
"2850178500","중앙아파트","36.76492218","127.31424300",""
"2850178600","국보화악","36.76598970","127.31800790",""
"2850178700","JMC중공업","36.76730510","127.32260810",""
"2850178800","구도1교앞","36.76748929","127.32493590",""
"2850178900","선영케미칼","36.76776449","127.32544820",""
"2850179000","동면주유소","36.76880037","127.33036620",""
"2850179100","광스틸앞","36.76884547","127.32825460",""
"2850179200","구도2교앞","36.76893126","127.33388280",""
"2850179300","반계삼거리","36.77006741","127.33562770",""
"2850179400","반계삼한","36.77154448","127.33784890",""
"2850179500","아우내주유소","36.77525713","127.34485990",""
"2850179600","파골앞","36.77790987","127.35087640",""
"2850179700","송연교앞","36.77996210","127.35518370",""
